,state,date,Unnamed: 0.1.1,zipcode,temperature,precip,humidity,visibility,pressure,cloudcover,heatindex,dewpoint,windchill,windgust,feelslike,mintemp,maxtemp,avgtemp,totalsnow,sunhour
2052,Mississippi,2021-02-10,32899.42857142857,39151.42857142857,18.857142857142858,4.514285714285714,91.28571428571429,6.285714285714286,1018.5714285714286,84.85714285714286,15.571428571428571,13.857142857142858,15.0,13.571428571428571,15.0,12.428571428571429,18.857142857142858,16.0,0.0,4.314285714285715
3647,Virginia,2021-02-10,33020.78571428572,22365.85714285714,3.261904761904762,0.5285714285714286,74.83333333333333,9.166666666666666,1027.0238095238096,68.4047619047619,1.5476190476190477,-2.857142857142857,-1.3333333333333333,14.166666666666666,-1.3333333333333333,-0.7857142857142857,3.261904761904762,1.380952380952381,0.38333333333333336,6.223809523809525
99,Arizona,2021-02-10,33017.333333333336,85389.73333333334,19.8,0.06666666666666667,28.866666666666667,9.933333333333334,1013.0,26.866666666666667,16.266666666666666,-2.4,16.066666666666666,9.533333333333333,16.066666666666666,13.133333333333333,19.8,16.533333333333335,0.060000000000000005,10.333333333333334
1521,Illinois,2021-02-10,32824.94736842105,60586.31578947369,-12.31578947368421,1.7578947368421052,89.21052631578948,8.210526315789474,1032.578947368421,85.42105263157895,-15.0,-16.473684210526315,-22.157894736842106,19.31578947368421,-22.157894736842106,-17.0,-12.31578947368421,-14.421052631578947,1.4052631578947368,4.836842105263156
3529,Texas,2021-02-10,33123.5,76927.36538461539,14.826923076923077,2.294230769230769,80.01923076923077,7.346153846153846,1016.3846153846154,83.13461538461539,12.596153846153847,8.596153846153847,10.653846153846153,18.807692307692307,10.673076923076923,9.461538461538462,14.826923076923077,12.634615384615385,0.0,5.884615384615385
3470,Tennessee,2021-02-10,32998.857142857145,37583.892857142855,10.714285714285714,0.9142857142857144,87.57142857142857,7.964285714285714,1021.4642857142857,75.42857142857143,7.357142857142857,5.142857142857143,5.678571428571429,12.464285714285714,5.678571428571429,4.642857142857143,10.714285714285714,7.964285714285714,0.0,6.553571428571426
2288,Nevada,2021-02-10,32914.25,89162.375,15.5,0.0,41.375,10.0,1014.625,35.375,10.375,-3.5,9.875,4.75,9.875,5.875,15.5,11.25,0.0,8.225000000000001
2702,New York,2021-02-10,32991.44827586207,12173.310344827587,-4.448275862068965,0.45172413793103455,83.93103448275862,9.137931034482758,1027.0,47.758620689655174,-6.275862068965517,-8.689655172413794,-11.172413793103448,18.20689655172414,-11.172413793103448,-8.827586206896552,-4.448275862068965,-6.448275862068965,0.3448275862068966,7.862068965517238
1993,Minnesota,2021-02-10,32938.0,55442.142857142855,-17.571428571428573,0.0,88.42857142857143,9.428571428571429,1036.857142857143,60.285714285714285,-21.857142857142858,-23.571428571428573,-28.571428571428573,13.285714285714286,-28.571428571428573,-25.142857142857142,-17.571428571428573,-21.0,0.0,5.414285714285714
3588,Utah,2021-02-10,33167.6,84216.8,7.2,0.78,73.8,9.0,1015.4,57.6,3.4,-1.2,3.0,6.0,3.0,-0.4,7.2,4.2,0.36,7.2
1698,Kansas,2021-02-10,32907.0,66616.6,-8.4,3.0,86.8,6.0,1029.6,100.0,-10.4,-12.6,-18.4,23.0,-18.4,-12.2,-8.4,-10.2,2.48,4.5
2938,Oregon,2021-02-10,33036.0,97314.2,9.4,0.3,75.4,9.2,1021.2,53.6,5.2,0.8,5.0,4.0,5.0,1.8,9.4,5.8,0.0,6.08
3411,South Dakota,2021-02-10,33076.5,57403.5,-14.5,0.6000000000000001,90.5,7.5,1036.0,95.5,-17.0,-18.5,-21.5,9.0,-21.5,-19.5,-14.5,-16.5,0.45,3.9
2643,New Mexico,2021-02-10,32968.0,87640.0,11.666666666666666,0.0,40.333333333333336,10.0,1012.6666666666666,52.333333333333336,7.333333333333333,-6.333333333333333,5.666666666666667,16.0,5.666666666666667,3.0,11.666666666666666,8.0,0.0,5.566666666666666
3824,Wisconsin,2021-02-10,33127.0,53476.5,-14.833333333333334,0.0,88.5,8.666666666666666,1034.5,49.5,-19.333333333333332,-21.166666666666668,-26.333333333333332,16.833333333333332,-26.333333333333332,-24.166666666666668,-14.833333333333334,-18.833333333333332,0.0,5.5
3706,Washington,2021-02-10,33042.066666666666,98584.26666666666,1.2666666666666666,0.0,65.6,9.666666666666666,1025.0,32.333333333333336,-1.8666666666666667,-7.933333333333334,-4.466666666666667,10.066666666666666,-4.466666666666667,-4.333333333333333,1.2666666666666666,-1.2,0.0,7.0600000000000005
2997,Pennsylvania,2021-02-10,32960.86486486487,18037.324324324323,-3.189189189189189,0.3243243243243244,80.5945945945946,9.08108108108108,1028.2432432432433,64.91891891891892,-5.0,-7.8108108108108105,-8.594594594594595,12.945945945945946,-8.594594594594595,-7.756756756756757,-3.189189189189189,-5.216216216216216,0.26756756756756755,5.799999999999999
1403,Hawaii,2021-02-10,32847.0,96764.4,23.2,0.02,68.0,10.0,1016.8,19.6,22.2,14.8,21.4,27.8,21.6,19.4,23.2,21.8,0.0,11.36
2111,Missouri,2021-02-10,32893.545454545456,64067.90909090909,-7.454545454545454,4.872727272727272,90.0909090909091,5.2727272727272725,1028.2727272727273,99.9090909090909,-8.636363636363637,-9.909090909090908,-15.454545454545455,23.272727272727273,-15.454545454545455,-9.636363636363637,-7.454545454545454,-8.454545454545455,3.290909090909091,3.9454545454545453
1875,Maryland,2021-02-10,32882.10344827586,21021.58620689655,1.4137931034482758,0.36551724137931035,64.86206896551724,9.793103448275861,1027.7586206896551,57.827586206896555,-0.13793103448275862,-6.275862068965517,-3.9310344827586206,17.310344827586206,-3.9310344827586206,-2.3448275862068964,1.4137931034482758,-0.3448275862068966,0.3172413793103448,7.431034482758617
1757,Kentucky,2021-02-10,32794.0,41054.333333333336,-2.2222222222222223,5.51111111111111,92.66666666666667,6.888888888888889,1025.5555555555557,95.55555555555556,-2.888888888888889,-3.888888888888889,-8.0,18.88888888888889,-8.0,-4.444444444444445,-2.2222222222222223,-3.111111111111111,1.9555555555555553,5.111111111111111
3056,South Carolina,2021-02-10,32958.875,29532.041666666668,12.625,1.4541666666666668,86.58333333333333,8.958333333333334,1023.125,59.416666666666664,11.166666666666666,9.0,9.958333333333334,17.041666666666668,9.958333333333334,9.416666666666666,12.625,11.125,0.0,6.320833333333334
632,Delaware,2021-02-10,36262.25,19846.5,-0.25,0.0,68.0,10.0,1027.5,52.25,-1.0,-6.25,-5.0,18.75,-5.0,-3.25,-0.25,-1.5,0.0,7.1
2820,Ohio,2021-02-10,32981.1724137931,44421.0,-6.689655172413793,2.841379310344828,89.34482758620689,7.137931034482759,1030.1379310344828,91.82758620689656,-8.724137931034482,-10.10344827586207,-13.862068965517242,15.620689655172415,-13.862068965517242,-10.655172413793103,-6.689655172413793,-8.517241379310345,2.362068965517241,4.558620689655174
1047,Georgia,2021-02-10,32811.8064516129,30543.870967741936,13.193548387096774,1.72258064516129,84.3225806451613,8.612903225806452,1021.9032258064516,83.51612903225806,12.064516129032258,9.548387096774194,11.32258064516129,12.387096774193548,11.32258064516129,10.870967741935484,13.193548387096774,12.225806451612904,0.0,5.574193548387097
2170,Montana,2021-02-10,32958.0,59542.666666666664,-15.333333333333334,2.733333333333333,95.0,4.333333333333333,1032.3333333333333,95.33333333333333,-19.0,-19.666666666666668,-23.0,8.0,-23.0,-21.0,-15.333333333333334,-18.0,2.3000000000000003,3.7999999999999994
1816,Louisiana,2021-02-10,32859.26666666667,70660.73333333334,22.2,2.386666666666667,89.0,7.6,1017.1333333333333,81.8,19.133333333333333,16.6,18.6,15.866666666666667,18.733333333333334,16.466666666666665,22.2,19.466666666666665,0.0,4.606666666666667
1934,Michigan,2021-02-10,32938.11111111111,48596.18518518518,-9.518518518518519,0.06666666666666667,87.77777777777777,9.333333333333334,1031.1851851851852,65.74074074074075,-12.925925925925926,-14.62962962962963,-17.14814814814815,11.0,-17.14814814814815,-16.333333333333332,-9.518518518518519,-12.296296296296296,0.022222222222222227,5.82962962962963
573,Colorado,2021-02-10,38378.066666666666,80333.26666666666,3.533333333333333,0.02666666666666667,54.666666666666664,10.0,1015.2,9.266666666666667,0.4,-8.133333333333333,-1.4,8.8,-1.4,-3.1333333333333333,3.533333333333333,0.9333333333333333,0.0,8.593333333333334
1462,Idaho,2021-02-10,32801.4,83553.0,2.8,0.02,63.6,10.0,1018.6,18.2,-1.4,-7.8,-3.2,11.4,-3.2,-4.6,2.8,-0.6,0.0,9.8
2229,Nebraska,2021-02-10,32851.0,68247.0,-12.0,0.43333333333333335,93.33333333333333,7.0,1034.3333333333333,94.33333333333333,-14.333333333333334,-15.0,-21.0,16.333333333333332,-21.0,-17.0,-12.0,-14.0,0.16666666666666666,3.9
3765,West Virginia,2021-02-10,33176.5,25722.25,0.125,5.85,91.875,5.875,1026.375,95.5,-1.875,-3.0,-4.5,11.625,-4.5,-4.0,0.125,-2.0,1.9375,4.2749999999999995
691,Florida,2021-02-10,37044.772357723574,33402.9837398374,25.747967479674795,0.7447154471544717,79.57723577235772,9.260162601626016,1019.9674796747968,34.886178861788615,23.495934959349594,18.422764227642276,22.30081300813008,17.13821138211382,23.333333333333332,19.821138211382113,25.747967479674795,22.89430894308943,0.0,9.826016260162602
514,California,2021-02-10,32856.21428571428,92808.41071428571,16.982142857142858,0.0,71.57142857142857,9.946428571428571,1016.5535714285714,20.446428571428573,13.142857142857142,7.821428571428571,12.875,7.732142857142857,12.875,9.553571428571429,16.982142857142858,13.714285714285714,0.0,8.673214285714279
455,Arkansas,2021-02-10,35828.77777777778,72367.77777777778,2.0,3.433333333333333,91.0,5.333333333333333,1021.8888888888889,100.0,1.0,-0.2222222222222222,-2.2222222222222223,15.444444444444445,-2.2222222222222223,-0.2222222222222222,2.0,0.8888888888888888,0.0,3.9444444444444438
40,Alabama,2021-02-10,37094.92307692308,35794.46153846154,19.076923076923077,2.5615384615384618,85.46153846153847,8.615384615384615,1019.6923076923077,78.38461538461539,15.461538461538462,12.76923076923077,15.153846153846153,12.538461538461538,15.153846153846153,12.846153846153847,19.076923076923077,16.076923076923077,0.0,5.2846153846153845
1580,Indiana,2021-02-10,32847.13333333333,46863.666666666664,-7.133333333333334,4.433333333333334,91.06666666666666,6.666666666666667,1029.2666666666667,97.13333333333334,-8.466666666666667,-9.666666666666666,-14.4,20.866666666666667,-14.4,-9.933333333333334,-7.133333333333334,-8.066666666666666,3.2,5.1066666666666665
